LOGINMANAGER, TRACE | 14:19:14, 3.86 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 14:19:14, 3.86 : False
DOWNLOADUTILITY, TRACE | 14:19:14, 3.86 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 14:19:14, 3.86 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:19:14, 3.86 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 14:19:14, 3.86 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 14:19:14, 3.86 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 14:19:14, 3.86 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 14:19:14, 0 : Connect called at 07/05/2022 14:19:14
LOGGER, TRACE | 14:19:14, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_14-19.txt
LOGGER, DEBUG | 14:19:14, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 14:19:14, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:19:14, 0 : Parsing labs
LOGINMANAGER, TRACE | 14:19:15, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 14:19:15, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 14:19:15, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 14:19:15, 0 : Csvs parsed
LOGINMANAGER, TRACE | 14:19:24, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 14:19:24, 8.68 : False
LOGINMANAGER, TRACE | 14:25:10, 354.47 : Lab has been placed
LOGINMANAGER, TRACE | 14:25:10, 354.47 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:10, 354.47 : True
LOGINMANAGER, TRACE | 14:25:38, 382.49 : Pin Entered
LOGINMANAGER, TRACE | 14:25:38, 382.49 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:25:38, 382.49 : Attempting to authenticate pin: 000012
AUTHENTICATE, TRACE | 14:25:38, 382.49 : Attempting to authenticate pin: 000012
AUTHENTICATE, TRACE | 14:25:39, 382.49 : Attempting to authenticate pin: 000012


Log file for student: User_12,  M00000012.
Current Time: 07/05/2022 14:25:40
LOGINMANAGER, TRACE | 14:25:40, 382.49 : Student authenticated: User 12, M00000012
LOGINMANAGER, TRACE | 14:25:40, 382.49 : Started lab selection
LOGINMANAGER, TRACE | 14:25:40, 382.49 : Generating lab selection buttons
LOGINMANAGER, TRACE | 14:26:15, 417.94 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 14:26:15, 417.94 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 14:26:15, 417.94 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:15, 417.94 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:21, 424.19 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:26:21, 424.19 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 14:26:22, 424.19 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: demo10.json
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: 2k_moon.jpg
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: 2k_sun.jpg
DOWNLOADUTILITY, DEBUG | 14:26:23, 424.19 : Extracting file: balldimpled.png
MEDIACATALOGUE, TRACE | 14:26:23, 424.19 : Started Initializing Media Catlogue, 22 resources to load
MEDIACATALOGUE, TRACE | 14:26:23, 424.19 : Started loading file: basketball.wav
MEDIACATALOGUE, TRACE | 14:26:23, 424.54 : Started loading file: bigearthmoon.wav
MEDIACATALOGUE, TRACE | 14:26:23, 424.58 : Started loading file: Grab.wav
MEDIACATALOGUE, TRACE | 14:26:23, 424.59 : Started loading file: introduction.wav
