LOGINMANAGER, TRACE | 13:14:23, 3.83 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 13:14:23, 3.83 : False
DOWNLOADUTILITY, TRACE | 13:14:23, 3.83 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 13:14:23, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:23, 3.83 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 13:14:23, 3.83 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 13:14:23, 3.83 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 13:14:23, 3.83 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 13:14:23, 0 : Connect called at 07/05/2022 13:14:23
LOGGER, TRACE | 13:14:23, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_13-14.txt
LOGGER, DEBUG | 13:14:23, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 13:14:24, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 13:14:24, 0 : Parsing labs
LOGINMANAGER, TRACE | 13:14:24, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 13:14:24, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 13:14:24, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 13:14:24, 0 : Csvs parsed
LOGINMANAGER, TRACE | 13:14:33, 8.67 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 13:14:33, 8.67 : False
LOGINMANAGER, TRACE | 13:14:50, 25.99 : Lab has been placed
LOGINMANAGER, TRACE | 13:14:50, 25.99 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 13:14:50, 25.99 : True
LOGINMANAGER, TRACE | 13:15:33, 69.15 : Pin Entered
LOGINMANAGER, TRACE | 13:15:33, 69.15 : Started Authenticating pin
AUTHENTICATE, TRACE | 13:15:33, 69.15 : Attempting to authenticate pin: 000016
AUTHENTICATE, TRACE | 13:15:34, 69.15 : Attempting to authenticate pin: 000016
AUTHENTICATE, TRACE | 13:15:35, 69.15 : Attempting to authenticate pin: 000016


Log file for student: User_16,  M00000016.
Current Time: 07/05/2022 13:15:36
LOGINMANAGER, TRACE | 13:15:36, 69.15 : Student authenticated: User 16, M00000016
LOGINMANAGER, TRACE | 13:15:36, 69.15 : Started lab selection
LOGINMANAGER, TRACE | 13:15:36, 69.15 : Generating lab selection buttons
LOGINMANAGER, TRACE | 13:16:24, 117.54 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 13:16:24, 117.54 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 13:16:24, 117.54 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:24, 117.54 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:29, 122.06 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 13:16:29, 122.06 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Number of entries to extract: 26
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: basketball.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: bigearthmoon.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: Grab.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: introduction.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: labintro.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: newfinalie.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: not_in_order1.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: not_in_order2.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: not_in_order3.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: Release.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: seeing the moon.wav
DOWNLOADUTILITY, DEBUG | 13:16:29, 122.06 : Extracting file: sorting_instructions.wav
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: sort-nicejob.wav
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: startbasketball.mp3
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: startsim.wav
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: Test55.mp3
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY, DEBUG | 13:16:30, 122.06 : Extracting file: demo10.json
