entity,tag,abstime,reltime,message
LOGINMANAGER,STATE START,"(8, 28, 2)",3.83, Introduction
LOGINMANAGER,TRACE,"(8, 28, 2)",3.83, ToggleControllerRendering()
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",3.83, Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json"
LOGINMANAGER,TRACE,"(8, 28, 2)",3.83, SetupIntroAnimation()
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",3.83, Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",3.83," Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv"
LOGGER,CONNECT,"(8, 28, 2)",0.0, Connect called at 09/15/2022 08:28:02
LOGGER,TRACE,"(8, 28, 2)",0.0, Saving files to persistent data path: /documents/C2/Logs/09-15-2022_08-28.txt
LOGGER,TRACE,"(8, 28, 2)",0.0, Sync with transform log 3.834901
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",0.0, Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER,TRACE,"(8, 28, 2)",0.0, ParseLabs()
LOGINMANAGER,DEBUG,"(8, 28, 2)",0.0," Finished parsing labs:Moon Lab, "
DOWNLOADUTILITY,DEBUG,"(8, 28, 2)",0.0, Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE,TRACE,"(8, 28, 2)",0.0, ParseCSV()
AUTHENTICATE,DEBUG,"(8, 28, 11)",0.0, CSVs Parsed
LOGINMANAGER,STATE START,"(8, 28, 20)",8.67, Placement
LOGINMANAGER,TRACE,"(8, 28, 20)",8.67, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 29, 15)",63.56, Place()
LOGINMANAGER,STATE START,"(8, 29, 15)",63.56, Pin Entry
LOGINMANAGER,TRACE,"(8, 29, 15)",63.56, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 30, 15)",123.49, PinEntered()
LOGINMANAGER,STATE START,"(8, 30, 15)",123.49, Authentication
AUTHENTICATE,DEBUG,"(8, 30, 15)",123.49, Attempting to authenticate pin: 00128
LOGINMANAGER,DEBUG,"(8, 31, 3)",123.49, Pin failed to authenticate
LOGINMANAGER,STATE START,"(8, 31, 4)",123.49, Pin Entry
LOGINMANAGER,TRACE,"(8, 31, 4)",123.49, ToggleControllerRendering()
LOGINMANAGER,TRACE,"(8, 31, 30)",150.07, PinEntered()
LOGINMANAGER,STATE START,"(8, 31, 30)",150.07, Authentication
AUTHENTICATE,DEBUG,"(8, 31, 30)",150.07, Attempting to authenticate pin: 000128
AUTHENTICATE,DEBUG,"(8, 31, 36)",150.07, Attempting to authenticate pin: 000128
AUTHENTICATE,DEBUG,"(8, 31, 43)",150.07, Attempting to authenticate pin: 000128
