c_pos_x,c_pos_y,c_pos_z,c_rot_x,c_rot_y,c_rot_z,c_rot_w,h_pos_x,h_pos_y,h_pos_z,h_rot_x,h_rot_y,h_rot_z,h_rot_w
3.825862,3.625862,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,1.0,0.0008905381,0.08215602,-0.32912314,0.12761226,-0.042311035,-0.17044918,0.04113162,0.983598,-0.019079365,-0.018081581,-0.030064408,-0.08730125
0.11171535,-0.0586747,-0.98815763,0.014597699,0.07942963,-0.3284275,0.12600283,-0.03968169,-0.17227547,0.039975915,0.98343706,-0.021430738,-0.01786182,-0.032547705
-0.08525809,0.115340084,-0.058855597,-0.9879088,0.0015528649,0.07846509,-0.3266678,0.12541753,-0.04030351,-0.17337523,0.04011748,0.98321277,-0.02171047,-0.016587518
-0.03431325,-0.08067828,0.11782655,-0.058850963,-0.9880003,0.00029163063,0.07805072,-0.32631177,0.12519874,-0.04050601,-0.17381495,0.040133152,0.98312616,-0.021860689
-0.0156150665,-0.034184966,-0.078681484,0.11421931,-0.056398753,-0.9887277,0.016251847,0.07792301,-0.32589445,0.12512444,-0.040746927,-0.17406237,0.040075343,0.9830748
-0.022606112,-0.014679428,-0.03404132,-0.076130405,0.110792376,-0.05774468,-0.9892395,0.0012577027,0.078590326,-0.32446504,0.124636166,-0.041671176,-0.1734499,0.039902363
0.9831513,-0.021469686,-0.014164859,-0.035136417,-0.07484633,0.10845444,-0.06088442,-0.9894083,0.016615197,0.08025464,-0.32379287,0.123482205,-0.042282384,-0.17174074
0.03989113,0.9834257,-0.017686762,-0.013726371,-0.036386482,-0.076423354,0.10618926,-0.060870904,-0.98953426,0.014952466,0.08534934,-0.32558176,0.12003013,-0.04103847
-0.16645673,0.039174173,0.9844153,-0.01462277,-0.014835051,-0.03662645,-0.08005666,0.104711406,-0.058824945,-0.98952824,0.0008318871,0.08589353,-0.32594046,0.11958149
-0.040616,-0.16592798,0.03897083,0.9845301,-0.011163738,-0.0150184,-0.037582777,-0.080990225,0.10396736,-0.05587083,-0.9897019,0.015227124,0.0868818,-0.32632706
0.11892805,-0.04015464,-0.1651844,0.038422626,0.9846956,-0.0081322715,-0.015758025,-0.039991062,-0.08119628,0.10344411,-0.054054853,-0.9898407,0.0012906045,0.08845081
-0.32671607,0.117705226,-0.039754894,-0.1640623,0.03752544,0.98493403,-0.00554632,-0.01528577,-0.04296531,-0.077728525,0.1016381,-0.052728657,-0.99037755,0.00022105873
0.0921051,-0.32735816,0.114519775,-0.039429132,-0.16139804,0.03586049,0.9854492,-0.0029469207,-0.01580246,-0.04507874,-0.079473875,0.10065534,-0.049738184,-0.9904941
0.016855523,0.09431977,-0.329097,0.11107302,-0.038719732,-0.15910578,0.03470033,0.98589146,-0.000473205,-0.015329612,-0.047611568,-0.07850351,0.09230228,-0.045417376
-0.99159205,0.00022296607,0.09450295,-0.32911104,0.11089757,-0.038604256,-0.15884988,0.034744967,0.9859357,-0.002794344,-0.014827132,-0.050324507,-0.07458798,0.09129786
-0.048422173,-0.9918451,0.015329644,0.09459423,-0.32911575,0.110790476,-0.03847417,-0.15848085,0.03489489,0.9859949,-0.004514046,-0.015268742,-0.04739973,-0.07685269
0.08536923,-0.04828162,-0.99220693,0.00077085197,0.0942139,-0.33186412,0.10938597,-0.03416514,-0.15096632,0.03759651,0.98723274,-0.0071680658,-0.0183158,-0.043243863
-0.08789676,0.09479821,-0.053034104,-0.9901893,0.017273232,0.092868924,-0.33612773,0.10876157,-0.028543767,-0.14693059,0.03799691,0.9880045,-0.0048003793,-0.020741064
-0.04068011,-0.10236104,0.092230126,-0.04582768,-0.9894017,0.0161684,0.09269893,-0.33628562,0.10867207,-0.02811463,-0.1468454,0.037715517,0.98804027,-0.005580187
-0.021227825,-0.040277723,-0.10677498,0.09049666,-0.050559543,-0.9888646,0.015944764,0.09291802,-0.3358246,0.10732387,-0.023547994,-0.1450822,0.03463302,0.9885329
-0.007317055,-0.02171132,-0.04102359,-0.106643185,0.088762335,-0.055254433,-0.98878485,5.6549907e-5,0.09311013,-0.33629376,0.10677821,-0.022295346,-0.14402837,0.03432054
0.9887269,-0.0070530437,-0.022180166,-0.0420367,-0.10949991,0.08898802,-0.053712472,-0.98853725,0.016327187,0.09257274,-0.33514887,0.10598106,-0.019177122,-0.14381571
0.035729814,0.9887733,-0.00740942,-0.021040712,-0.04405383,-0.10579406,0.08635205,-0.054063477,-0.9891553,0.00043563545,0.09135748,-0.333806,0.10640877,-0.019101633
-0.14360416,0.036906786,0.9887623,-0.010689318,-0.022190694,-0.042738847,-0.10578497,0.08325927,-0.05560576,-0.9893359,0.016198918,0.09011061,-0.3352221,0.10758858
-0.016899448,-0.14168985,0.038929608,0.989001,-0.014676858,-0.023211326,-0.040642425,-0.10655271,0.081293404,-0.05819717,-0.98926795,0.00026397407,0.08743227,-0.3392696
0.1098063,-0.009703201,-0.13729408,0.043035127,0.9895475,-0.016818188,-0.02367404,-0.038882647,-0.109705366,0.08450018,-0.058408238,-0.988642,0.016559407,0.08394395
-0.3399547,0.11079474,-0.0057561635,-0.13787244,0.044889197,0.98941547,-0.017727159,-0.023012059,-0.039576165,-0.109877385,0.086266614,-0.059765834,-0.98838913,0.016068265
0.08342014,-0.3387365,0.11113916,-0.005107729,-0.1393445,0.046078075,0.98915815,-0.018298857,-0.022451073,-0.041923113,-0.10635633,0.085709594,-0.06302316,-0.9886204
0.00046424568,0.08329391,-0.337764,0.11097358,-0.0052190633,-0.14059757,0.047183957,0.9889281,-0.019170377,-0.022885913,-0.041335233,-0.106803,0.08788707,-0.064183146
-0.9883064,0.016110227,0.08332914,-0.33768642,0.11089542,-0.0053100483,-0.14078818,0.047355708,0.9888923,-0.01870497,-0.023548521,-0.04010302,-0.11026344,0.08601408
-0.062465563,-0.9882012,5.9887767e-5,0.08356735,-0.33752063,0.11048953,-0.0061699296,-0.14191963,0.04803117,0.988693,-0.019628894,-0.023477813,-0.040552653,-0.109121844
0.086256325,-0.06273729,-0.9882896,0.00013808906,0.0840314,-0.33690986,0.110235944,-0.007517882,-0.14290014,0.04844542,0.9885222,-0.021515157,-0.024082568,-0.04106947
-0.110846624,0.08777042,-0.0639161,-0.98788875,0.016737744,0.0840771,-0.3364122,0.11005748,-0.009002203,-0.14342244,0.048629984,0.9884251,-0.02336904,-0.02307088
-0.04265517,-0.106586754,0.085104495,-0.06595263,-0.9884567,0.016530797,0.0841228,-0.33618635,0.11001988,-0.009562631,-0.14351608,0.048691887,0.9884032,-0.025260434
-0.023265898,-0.042816184,-0.10593345,0.08519183,-0.066657715,-0.98847216,0.016628072,0.08363342,-0.33585155,0.110196516,-0.012179712,-0.14321986,0.04902381,0.98840094
-0.026996505,-0.023602948,-0.041646704,-0.10806929,0.08490895,-0.06585408,-0.98831916,0.016537473,0.080286406,-0.33563238,0.11044107,-0.015914101,-0.14349529,0.04966328
0.988276,-0.029336184,-0.02444651,-0.042650077,-0.1077788,0.08676146,-0.06713104,-0.98810405,0.000103756785,0.07784776,-0.33523604,0.11055869,-0.017617226,-0.14469172
0.05003229,0.98805404,-0.029847879,-0.024435733,-0.043237478,-0.1072363,0.08608596,-0.06717792,-0.98821896,0.00016383827,0.07768039,-0.33515802,0.110498674,-0.017692372
-0.14484712,0.050069164,0.98802805,-0.028784733,-0.025035098,-0.0450103,-0.107210696,0.086563274,-0.06830115,-0.98810303,0.016731068,0.07717054,-0.3345166,0.10948649
-0.01847865,-0.14638327,0.0504432,0.9877682,-0.025118671,-0.024142085,-0.04693959,-0.1068007,0.08539226,-0.06548655,-0.98843986,0.01645355,0.07917403,-0.33243787
0.106591746,-0.021177132,-0.1491141,0.050473806,0.9873039,-0.021994077,-0.023717757,-0.048270963,-0.10485717,0.08365599,-0.06301269,-0.98895705,0.016919896,0.07936793
-0.33232003,0.10646441,-0.021328399,-0.14912893,0.050429877,0.98730063,-0.020009577,-0.02359825,-0.049169134,-0.104665525,0.08390354,-0.061916992,-0.98902565,2.6673079e-6
0.07966714,-0.33220154,0.10633823,-0.021525532,-0.14905937,0.050316595,0.9873126,-0.01913514,-0.023072511,-0.049262904,-0.10358183,0.07955892,-0.058831412,-0.9896869
0.016588971,0.08008452,-0.33209205,0.10622026,-0.021782823,-0.14886202,0.050126188,0.9873465,-0.02053051,-0.02295176,-0.04972083,-0.10291335,0.079584524,-0.05924092
-0.9897301,0.005959317,0.08027458,-0.33202073,0.10614371,-0.021947376,-0.14867361,0.049992558,0.98737794,-0.02204024,-0.022773132,-0.048621383,-0.102329254,0.07928979
-0.059560988,-0.98979515,5.2258372e-5,0.08123283,-0.33222717,0.10548423,-0.024426505,-0.14463949,0.04775059,0.9880297,-0.024904076,-0.022828773,-0.047186986,-0.10323636
0.08077834,-0.060745757,-0.9895085,0.000117108226,0.07996045,-0.33241385,0.105975054,-0.024612539,-0.14376855,0.047365643,0.9881707,-0.027686853,-0.02316459,-0.046102814
