LOGINMANAGER | STATE START | 09:20:17 | 3.82 | Introduction
LOGINMANAGER | TRACE | 09:20:17 | 3.82 | ToggleControllerRendering()
DOWNLOADUTILITY | DEBUG | 09:20:17 | 3.82 | Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY | DEBUG | 09:20:17 | 3.82 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 09:20:17 | 3.82 | SetupIntroAnimation()
DOWNLOADUTILITY | DEBUG | 09:20:17 | 3.82 | Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY | DEBUG | 09:20:17 | 3.82 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER | CONNECT | 09:20:17 | 0 | Connect called at 09/06/2022 09:20:17
LOGGER | TRACE | 09:20:17 | 0 | Saving files to persistent data path: /documents/C2/Logs/09-06-2022_09-20.txt
LOGGER | TRACE | 09:20:17 | 0 | Sync with transform log 3.824189
DOWNLOADUTILITY | DEBUG | 09:20:17 | 0 | Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER | TRACE | 09:20:17 | 0 | ParseLabs()
LOGINMANAGER | DEBUG | 09:20:17 | 0 | Finished parsing labs:Moon Lab, 
DOWNLOADUTILITY | DEBUG | 09:20:17 | 0 | Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE | TRACE | 09:20:17 | 0 | ParseCSV()
AUTHENTICATE | DEBUG | 09:20:26 | 0 | CSVs Parsed
LOGINMANAGER | STATE START | 09:20:35 | 8.68 | Placement
LOGINMANAGER | TRACE | 09:20:35 | 8.68 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 09:21:07 | 41.22 | Place()
LOGINMANAGER | STATE START | 09:21:07 | 41.22 | Pin Entry
LOGINMANAGER | TRACE | 09:21:07 | 41.22 | ToggleControllerRendering()
LOGINMANAGER | TRACE | 09:21:24 | 57.96 | PinEntered()
LOGINMANAGER | STATE START | 09:21:24 | 57.96 | Authentication
AUTHENTICATE | DEBUG | 09:21:24 | 57.96 | Attempting to authenticate pin: 000103
AUTHENTICATE | DEBUG | 09:21:29 | 57.96 | Attempting to authenticate pin: 000103
AUTHENTICATE | DEBUG | 09:21:35 | 57.96 | Attempting to authenticate pin: 000103
LABLOGGER | INITIALIZE LOG | 09:21:40 | 57.96 | Log file for student: User_103,  M00000103.
LOGINMANAGER | DEBUG | 09:21:40 | 57.96 | Student authenticated: User 103, M00000103
LOGINMANAGER | STATE START | 09:21:40 | 57.96 | Lab Selection
LOGINMANAGER | TRACE | 09:21:40 | 57.96 | GenerateLabListUI()
LOGINMANAGER | TRACE | 09:21:42 | 60.59 | LabSelected()
LOGINMANAGER | DEBUG | 09:21:42 | 60.59 | Lab Selected: 1, Moon Lab
LOGINMANAGER | STATE START | 09:21:43 | 60.59 | Lab Initiation
DOWNLOADUTILITY | DEBUG | 09:21:43 | 60.59 | Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY | DEBUG | 09:21:43 | 60.59 | Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 09:21:54 | 72.58 | Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | TRACE | 09:21:54 | 72.58 | Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY | DEBUG | 09:21:54 | 72.58 | Number of entries to extract: 64
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: basketball.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: bigearthmoon.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: Grab.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: introduction.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: labintro.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: mixkit-game-bonus-reached-2065.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_1_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_10_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:55 | 72.58 | Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:56 | 72.58 | Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:56 | 72.58 | Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:56 | 72.58 | Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY | DEBUG | 09:21:56 | 72.58 | Extracting file: moonlab_2_20_0.wav
