LOGINMANAGER, TRACE | 14:24:19, 3.84 : Login Scene Starting....
LOGINMANAGER, POINTER VISIBILITY | 14:24:19, 3.84 : False
DOWNLOADUTILITY, TRACE | 14:24:19, 3.84 : Starting download of file $/documents/C2/login/All_Labs.json from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json
DOWNLOADUTILITY, DEBUG | 14:24:19, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/testlabs001.json, path: /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:19, 3.84 : Starting intro animation, waiting till it completes
AUTHENTICATE, TRACE | 14:24:19, 3.84 : Starting pin-csv download
DOWNLOADUTILITY, TRACE | 14:24:19, 3.84 : Starting download of file $/documents/C2/login/pin_ids.csv from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv
DOWNLOADUTILITY, DEBUG | 14:24:19, 3.84 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/pin_ids.csv, path: /documents/C2/login/pin_ids.csv
LOGGER, CONNECT | 14:24:19, 0 : Connect called at 07/05/2022 14:24:19
LOGGER, TRACE | 14:24:19, 0 : Saving files to persistent data path: /documents/C2/Logs/07-05-2022_14-24.txt
LOGGER, DEBUG | 14:24:19, 0 : location of Application.dataPath: /package/Data
DOWNLOADUTILITY, TRACE | 14:24:20, 0 : Successfully downloaded /documents/C2/login/All_Labs.json
LOGINMANAGER, TRACE | 14:24:20, 0 : Parsing labs
LOGINMANAGER, TRACE | 14:24:20, 0 : Finished parsing labs:
Moon Lab, 
DOWNLOADUTILITY, TRACE | 14:24:20, 0 : Successfully downloaded /documents/C2/login/pin_ids.csv
AUTHENTICATE, TRACE | 14:24:20, 0 : Starting to parse csv file
AUTHENTICATE, TRACE | 14:24:20, 0 : Csvs parsed
LOGINMANAGER, TRACE | 14:24:29, 8.68 : Started placement
LOGINMANAGER, POINTER VISIBILITY | 14:24:29, 8.68 : False
LOGINMANAGER, TRACE | 14:25:10, 50.37 : Lab has been placed
LOGINMANAGER, TRACE | 14:25:10, 50.37 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:11, 50.37 : True
LOGINMANAGER, TRACE | 14:25:35, 74.47 : Pin Entered
LOGINMANAGER, TRACE | 14:25:35, 74.47 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:25:35, 74.47 : Attempting to authenticate pin: 0013
LOGINMANAGER, TRACE | 14:25:37, 74.47 : Pin failed to authenticate
LOGINMANAGER, TRACE | 14:25:37, 74.47 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:25:37, 74.47 : True
LOGINMANAGER, TRACE | 14:26:35, 132.1 : Pin Entered
LOGINMANAGER, TRACE | 14:26:35, 132.1 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:26:35, 132.1 : Attempting to authenticate pin: 13
LOGINMANAGER, TRACE | 14:26:37, 132.1 : Pin failed to authenticate
LOGINMANAGER, TRACE | 14:26:37, 132.1 : Started Pin Entry
LOGINMANAGER, POINTER VISIBILITY | 14:26:37, 132.1 : True
LOGINMANAGER, TRACE | 14:27:31, 186.11 : Pin Entered
LOGINMANAGER, TRACE | 14:27:31, 186.11 : Started Authenticating pin
AUTHENTICATE, TRACE | 14:27:31, 186.11 : Attempting to authenticate pin: 000013
AUTHENTICATE, TRACE | 14:27:32, 186.11 : Attempting to authenticate pin: 000013
AUTHENTICATE, TRACE | 14:27:33, 186.11 : Attempting to authenticate pin: 000013


Log file for student: User_13,  M00000013.
Current Time: 07/05/2022 14:27:34
LOGINMANAGER, TRACE | 14:27:34, 186.11 : Student authenticated: User 13, M00000013
LOGINMANAGER, TRACE | 14:27:34, 186.11 : Started lab selection
LOGINMANAGER, TRACE | 14:27:34, 186.11 : Generating lab selection buttons
LOGINMANAGER, TRACE | 14:27:39, 191.96 : Lab Selected: 1, Moon Lab
LOGINMANAGER, TRACE | 14:27:39, 191.96 : Started lab Initiaion
DOWNLOADUTILITY, TRACE | 14:27:39, 191.96 : Starting download of file $/documents/C2/lab_resources/TestLab.zip from url: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:27:39, 191.96 : Inside download coroutine, URL: http://cyberlearnar.cs.mtsu.edu/show_uploaded/TestLab.zip, path: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:27:42, 194.31 : Successfully downloaded /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, TRACE | 14:27:42, 194.31 : Starting to extract file: /documents/C2/lab_resources/TestLab.zip
DOWNLOADUTILITY, DEBUG | 14:27:42, 194.31 : Number of entries to extract: 26
